Nr.;x1;x2;y1;y2;z1;z2;z3;z4;U1;U2;Zeit
243;-0,5;0,9;-0,1;0,2;4,4;-6,8;-9,6;7,2;-0,0087;0,009;0,1215
244;-0,1;0,5;-0,1;0,2;1,6;-9,6;-6,8;10;-0,0036;0,009;0,122
245;-0,1;0,9;-0,1;0,2;7,2;-4;-9,6;10;-0,0087;0,009;0,1225
246;0,2;0,9;-0,1;-0,5;4,4;-6,8;-6,8;10;-0,0087;0,009;0,123
247;-0,1;0,5;0,2;0,2;1,6;-6,8;-6,8;10;-0,0061;0,0065;0,1235
248;-0,1;0,2;0,2;0,2;4,4;-4;-6,8;10;-0,0061;0,009;0,124
249;0,2;0,9;0,2;0,2;4,4;-6,8;-9,6;10;-0,0087;0,009;0,1245
250;-0,1;0,5;-0,1;-0,8;4,4;-6,8;-9,6;12,8;-0,0061;0,009;0,125
251;-0,1;0,5;0,2;0,2;4,4;-6,8;-4;10;-0,0061;0,009;0,1255
252;0,2;0,5;-0,1;0,2;1,6;-6,8;-9,6;10;-0,0061;0,009;0,126
253;-0,1;0,5;0,2;-0,1;1,6;-6,8;-4;10;-0,0087;0,009;0,1265
254;-0,1;0,9;-0,1;0,2;4,4;-9,6;-9,6;10;-0,0087;0,0065;0,127
255;-0,1;0,9;0,2;0,2;4,4;-6,8;-9,6;12,8;-0,0061;0,0115;0,1275
256;-0,1;0,2;-0,1;0,2;4,4;-6,8;-9,6;15,6;-0,0087;0,009;0,128
257;0,2;0,5;-0,8;0,2;4,4;-6,8;-6,8;10;-0,0087;0,0115;0,1285
258;-0,1;0,9;0,2;0,2;4,4;-6,8;-9,6;10;-0,0061;0,009;0,129
259;0,2;0,9;0,2;0,2;4,4;-6,8;-6,8;7,2;-0,0087;0,009;0,1295
260;-0,5;0,5;0,2;0,2;1,6;-6,8;-12,4;10;-0,0061;0,0065;0,13
261;-0,1;0,5;-0,1;-0,1;7,2;-4;-9,6;10;-0,0061;0,0065;0,1305
262;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-9,6;10;-0,0061;0,009;0,131
263;-0,1;0,9;-0,5;-0,1;1,6;-6,8;-6,8;10;-0,0087;0,009;0,1315
264;0,2;0,9;-0,5;0,2;4,4;-6,8;-6,8;7,2;-0,0061;0,009;0,132
265;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-9,6;10;-0,0061;0,0115;0,1325
266;-0,5;0,5;-0,1;0,5;1,6;-4;-6,8;10;-0,0087;0,009;0,133
267;-0,1;0,5;0,2;0,2;1,6;-6,8;-9,6;10;-0,0061;0,009;0,1335
268;-0,1;0,9;-0,1;0,2;4,4;-4;-9,6;10;-0,0061;0,009;0,134
269;-0,1;1,2;-0,5;0,2;7,2;-6,8;-9,6;7,2;-0,0061;0,009;0,1345
270;0,2;0,5;-0,1;-0,1;1,6;-6,8;-6,8;7,2;-0,0061;0,0065;0,135
271;-0,1;0,5;0,2;0,2;1,6;1,6;-6,8;10;-0,0061;0,009;0,1355
